date,state,positive,negative,pending,totalTestResults,hospitalizedCurrently,death,hospitalized,dateChecked,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
20210305,AK,56886,null,null,1731628,33,305,1293,2021-03-05 03:59:00,2,141,0,56886,7144,56886,2,3
20210305,AL,498887,1924758,null,2316127,526,10122,45976,2021-03-05 11:00:00,1,811,4223,2423645,4920,2423645,28,169
20210305,AR,324326,2472738,null,2728103,359,5283,14903,2021-03-05 00:00:00,5,570,8452,2797064,8874,2797064,10,27
20210305,AS,0,2140,null,2140,null,0,null,2020-12-01 00:00:00,60,0,0,2140,0,2140,0,0
20210305,AZ,823384,3050890,null,7827570,1043,16269,57819,2021-03-05 00:00:00,4,2276,18778,3874274,51727,3874274,84,72
20210305,CA,3493126,null,null,49294503,4714,53448,null,2021-03-05 02:59:00,6,4659,0,3493126,146818,3493126,400,0
20210305,CO,434654,2193953,null,6343360,356,5986,23863,2021-03-05 01:59:00,8,1633,5212,2628607,33127,2628607,12,72
20210305,CT,285330,null,null,6520366,428,7704,12257,2021-03-04 23:59:00,9,830,0,285330,41868,285330,11,0
20210305,DC,41122,null,null,1247637,160,1027,null,2021-03-04 00:00:00,11,108,0,41122,5821,41122,3,0
20210305,DE,87874,542791,null,1417318,127,1453,null,2021-03-04 18:00:00,10,231,1020,630665,3678,630665,9,0
20210305,FL,1900598,9296590,8453,22186763,3419,32093,81902,2021-03-04 23:59:00,12,5876,26910,11205641,106925,11197188,138,302
20210305,GA,1019509,null,null,7315477,2099,17815,56627,2021-03-05 14:50:00,13,2081,0,1019509,35861,1019509,65,115
20210305,GU,7748,112887,null,120635,2,133,null,2021-03-05 05:15:00,66,1,538,120635,539,120635,2,0
20210305,HI,28561,null,null,1136395,28,443,2225,2021-03-03 14:30:00,15,95,0,28561,5302,28561,2,0
20210305,IA,281765,1041604,null,1323369,176,5549,null,2021-03-05 00:00:00,19,374,1549,1323369,1923,1323369,13,0
20210305,ID,172587,504925,null,644796,139,1876,7164,2021-03-05 11:34:00,16,299,1234,677512,1438,677512,0,20
20210305,IL,1194702,null,null,18492848,1166,22946,null,2021-03-05 00:00:00,17,1442,0,1194702,103336,1194702,44,0
20210305,IN,665285,2473358,null,8171222,730,12697,43104,2021-03-04 23:59:00,18,839,4481,3138643,37626,3138643,34,60
20210305,KS,295861,974686,null,1270547,235,4812,9387,2021-03-05 10:00:00,20,752,5035,1270547,5787,1270547,-4,32
20210305,KY,409345,null,null,3969899,606,4754,19380,2021-03-05 00:00:00,21,905,0,409345,15260,409345,22,16
20210305,LA,433045,5241101,null,5674146,538,9716,null,2021-03-05 13:00:00,22,518,18643,5674146,19161,5674146,30,0
20210305,MA,588209,4388938,null,16628614,716,16322,19713,2021-03-04 23:59:00,25,1899,8907,4977147,106263,4977147,26,0
20210305,MD,385678,3024949,null,8024078,849,7930,35378,2021-03-05 10:00:00,24,913,6829,3410627,41728,3410627,8,74
20210305,ME,45452,null,null,1644587,74,704,1560,2021-03-04 23:59:00,23,225,0,45452,11279,45452,-1,11
20210305,MI,654380,null,null,10584735,866,16601,null,2021-03-05 00:00:00,26,1791,0,654380,46112,654380,12,0
20210305,MN,488170,3043308,null,7058033,224,6534,25938,2021-03-04 17:00:00,27,796,7310,3531478,34207,3531478,13,42
20210305,MO,479966,1872325,null,4541067,1019,8158,null,2021-03-05 00:59:00,29,430,3724,2352291,16593,2352291,8,0
20210305,MP,144,17429,null,17573,null,2,4,2021-03-03 00:00:00,69,0,0,17573,0,17573,0,0
20210305,MS,296745,1459374,null,1756119,445,6783,9162,2021-03-04 00:00:00,28,591,0,1756119,591,1756119,19,0
20210305,MT,100656,null,null,1096913,67,1379,4610,2021-03-05 01:59:00,30,125,0,100656,5391,100656,4,2
20210305,NC,870149,null,null,9650184,1226,11446,null,2021-03-05 12:25:00,37,2093,0,870149,44487,870149,47,0
20210305,ND,100278,305910,null,1422537,22,1478,3875,2021-03-05 01:59:00,38,94,312,406188,2917,406188,0,0
20210305,NE,202310,769232,null,2411545,143,2112,6226,2021-03-05 09:45:00,31,337,1102,971542,7859,971542,20,69
20210305,NH,76422,577690,null,1481488,90,1178,1126,2021-03-05 09:00:00,33,244,445,654112,7047,654112,0,-1
20210305,NJ,806370,10186941,null,10993311,1881,23521,65254,2021-03-05 00:00:00,34,3701,90590,10993311,94291,10993311,30,1117
20210305,NM,186460,null,null,2757994,183,3787,13229,2021-03-05 17:45:00,35,304,0,186460,19260,186460,18,14
20210305,NV,295460,1127378,null,2754332,393,5020,null,2021-03-04 00:00:00,32,391,2124,1422838,8024,1422838,15,0
20210305,NY,1666733,null,null,39194200,5034,38891,89995,2021-03-04 14:00:00,36,8956,0,1666733,296935,1666733,95,0
20210305,OH,976230,null,null,10187678,919,17656,50782,2021-03-05 14:00:00,39,1750,0,976230,43131,976230,467,87
20210305,OK,427558,3135060,3464,3562618,366,4534,24157,null,40,917,8299,3566082,9216,3562618,0,54
20210305,OR,156673,null,null,3798067,154,2284,8699,2021-03-04 03:01:00,41,386,0,156673,10629,156673,32,17
20210305,PA,944196,3926038,null,10629284,1587,24262,null,2021-03-05 12:00:00,42,2757,10767,4870234,59517,4870234,43,0
20210305,PR,101066,305972,null,407038,136,2056,null,2021-03-05 00:00:00,72,199,0,407038,199,407038,3,0
20210305,RI,128121,674515,null,3087981,141,2541,9020,2021-03-05 13:00:00,44,394,1387,802636,22869,802636,2,18
20210305,SC,523258,4603549,null,5126807,664,8699,20605,2021-03-03 23:59:00,45,1695,25299,5126807,26994,5126807,39,63
20210305,SD,113229,313260,null,698456,74,1896,6681,2021-03-04 14:00:00,46,164,839,426489,1800,426489,0,17
20210305,TN,780894,null,null,6856581,939,11534,18837,2021-03-05 15:00:00,47,1445,0,780894,21699,780894,33,58
20210305,TX,2678295,null,null,19820052,5065,44134,null,2021-03-05 14:50:00,48,6853,0,2678295,55875,2678295,256,0
20210305,UT,373868,1553533,null,2895082,238,1970,14841,2021-03-05 09:18:00,49,1160,3773,1927401,8713,1927401,15,58
20210305,VA,583060,null,180,5996828,1222,9428,24514,2021-03-04 17:00:00,51,1652,0,583240,24556,583060,71,100
20210305,VI,2714,46167,80,48881,null,25,null,2021-03-05 11:18:00,78,10,160,48961,170,48881,0,0
20210305,VT,15819,318720,null,1107296,26,207,null,2021-03-04 23:59:00,50,133,634,334539,12441,334539,0,0
20210305,WA,343090,null,null,5344402,413,5032,19500,2021-03-04 02:59:00,53,854,0,343090,24021,343090,20,34
20210305,WI,620663,2642182,36,7037081,260,7094,26387,2021-03-05 00:00:00,55,721,3034,3262881,28542,3262845,12,57
20210305,WV,132964,null,null,2218488,200,2318,null,2021-03-04 23:59:00,54,287,0,132964,10812,132964,9,0
20210305,WY,54764,182264,null,649293,21,682,1391,2021-03-05 00:00:00,56,79,307,237028,3114,237028,0,2
20210304,AK,56745,null,null,1724484,32,303,1290,2021-03-04 03:59:00,2,140,0,56745,13466,56745,0,5
20210304,AL,498076,1920535,null,2311207,544,10094,45807,2021-03-04 11:00:00,1,922,4990,2418611,5890,2418611,65,84
20210304,AR,323756,2464286,null,2719229,397,5273,14876,2021-03-04 00:00:00,5,403,8977,2788042,9283,2788042,12,50
20210304,AS,0,2140,null,2140,null,0,null,2020-12-01 00:00:00,60,0,0,2140,0,2140,0,0
20210304,AZ,821108,3032112,null,7775843,1072,16185,57747,2021-03-04 00:00:00,4,1154,9402,3853220,36482,3853220,96,50
20210304,CA,3488467,null,null,49147685,4967,53048,null,2021-03-04 02:59:00,6,3504,0,3488467,119637,3488467,273,0
20210304,CO,433021,2188741,null,6310233,355,5974,23791,2021-03-04 01:59:00,8,1351,5603,2621762,36564,2621762,4,56
20210304,CT,284500,null,null,6478498,433,7693,12257,2021-03-03 23:59:00,9,878,0,284500,42863,284500,15,0
20210304,DC,41014,null,null,1241816,170,1024,null,2021-03-03 00:00:00,11,196,0,41014,7833,41014,1,0
20210304,DE,87643,541771,null,1413640,130,1444,null,2021-03-03 18:00:00,10,218,807,629414,3724,629414,4,0
20210304,FL,1894722,9269680,8435,22079838,3566,31955,81600,2021-03-03 23:59:00,12,5997,26450,11172837,104245,11164402,126,322
20210304,GA,1017428,null,null,7279616,2191,17750,56512,2021-03-04 14:50:00,13,2886,0,1017428,28189,1017428,125,143
20210304,GU,7747,112349,null,120096,5,131,null,2021-03-04 04:00:00,66,2,424,120096,426,120096,0,0
20210304,HI,28466,null,null,1131093,28,441,2225,2021-03-02 14:30:00,15,59,0,28466,6227,28466,0,-1
20210304,IA,281391,1040055,null,1321446,184,5536,null,2021-03-04 00:00:00,19,400,2052,1321446,2452,1321446,35,0
20210304,ID,172288,503691,null,643358,139,1876,7144,2021-03-03 19:25:00,16,452,1096,675979,1441,675979,5,13
20210304,IL,1193260,null,null,18389512,1200,22902,null,2021-03-04 00:00:00,17,1740,0,1193260,73990,1193260,49,0
20210304,IN,664446,2468877,null,8133596,692,12663,43044,2021-03-03 23:59:00,18,935,4795,3133323,40539,3133323,30,89
20210304,KS,295109,969651,null,1264760,203,4816,9355,2021-03-03 10:00:00,20,0,0,1264760,0,1264760,0,0
20210304,KY,408440,null,null,3954639,645,4732,19364,2021-03-04 00:00:00,21,1067,0,408440,14273,408440,28,60
20210304,LA,432527,5222458,null,5654985,554,9686,null,2021-03-04 13:00:00,22,756,24034,5654985,24790,5654985,18,0
20210304,MA,586310,4380031,null,16522351,741,16296,19713,2021-03-03 23:59:00,25,1567,8554,4966341,102362,4966341,44,0
20210304,MD,384765,3018120,null,7982350,856,7922,35304,2021-03-04 10:00:00,24,809,5941,3402885,33723,3402885,3,81
20210304,ME,45227,null,null,1633308,69,705,1549,2021-03-03 23:59:00,23,136,0,45227,11093,45227,0,4
20210304,MI,652589,null,null,10538623,890,16589,null,2021-03-04 00:00:00,26,1827,0,652589,46486,652589,39,0
20210304,MN,487374,3035998,null,7023826,229,6521,25896,2021-03-03 17:00:00,27,940,14444,3523372,62827,3523372,14,33
20210304,MO,479536,1868601,null,4524474,999,8150,null,2021-03-04 00:59:00,29,467,3588,2348137,16298,2348137,2,0
20210304,MP,144,17429,null,17573,null,2,4,2021-03-03 00:00:00,69,0,0,17573,0,17573,0,0
20210304,MS,296154,1459374,null,1755528,448,6764,9162,2021-03-03 00:00:00,28,479,0,1755528,479,1755528,21,0
20210304,MT,100531,null,null,1091522,73,1375,4608,2021-03-04 01:59:00,30,180,0,100531,4974,100531,2,8
20210304,NC,868056,null,null,9605697,1290,11399,null,2021-03-04 14:25:00,37,2502,0,868056,44050,868056,36,0
20210304,ND,100184,305598,null,1419620,22,1478,3875,2021-03-04 01:59:00,38,117,94,405782,3575,405782,0,4
20210304,NE,201973,768130,null,2403686,151,2092,6157,2021-03-04 10:30:00,31,365,1349,970103,11285,970103,1,10
20210304,NH,76178,577245,null,1474441,92,1178,1127,2021-03-04 09:00:00,33,188,1620,653423,7052,653423,3,4
20210304,NJ,802669,10096351,null,10899020,1900,23491,64137,2021-03-04 00:00:00,34,3193,0,10899020,3193,10899020,42,87
20210304,NM,186156,null,null,2738734,177,3769,13215,2021-03-04 18:08:00,35,258,0,186156,18352,186156,16,25
20210304,NV,295069,1125254,null,2746308,407,5005,null,2021-03-03 00:00:00,32,385,2431,1420323,8243,1420323,18,0
20210304,NY,1657777,null,null,38897265,5177,38796,89995,2021-03-03 14:00:00,36,7593,0,1657777,270089,1657777,61,0
20210304,OH,974480,null,null,10144547,1009,17189,50695,2021-03-04 14:00:00,39,1875,0,974480,43325,974480,0,82
20210304,OK,426641,3126761,3620,3553402,404,4534,24103,null,40,895,10458,3557022,11353,3553402,0,39
20210304,OR,156287,null,null,3787438,165,2252,8682,2021-03-03 03:01:00,41,250,0,156287,27038,156287,27,29
20210304,PA,941439,3915271,null,10569767,1628,24219,null,2021-03-04 12:00:00,42,3028,8736,4856710,55306,4856710,50,0
20210304,PR,100867,305972,null,406839,171,2053,null,2021-03-04 00:00:00,72,102,0,406839,102,406839,5,0
20210304,RI,127727,673128,null,3065112,148,2539,9002,2021-03-04 13:00:00,44,442,1586,800855,23431,800855,5,20
20210304,SC,521563,4578250,null,5099813,734,8660,20542,2021-03-02 23:59:00,45,1567,20102,5099813,21669,5099813,40,41
20210304,SD,113065,312421,null,696656,87,1896,6664,2021-03-03 14:00:00,46,232,909,425486,1773,425486,3,10
20210304,TN,779449,null,null,6834882,970,11501,18779,2021-03-04 15:00:00,47,1514,0,779449,17761,779449,42,37
20210304,TX,2671442,null,null,19764177,5263,43878,null,2021-03-04 14:55:00,48,8028,0,2671442,56522,2671442,315,0
20210304,UT,372708,1549760,null,2886369,247,1955,14783,2021-03-03 09:08:00,49,0,4202,1922468,10193,1922468,0,0
20210304,VA,581408,null,218,5972272,1352,9357,24414,2021-03-03 17:00:00,51,1300,0,581626,25300,581408,31,60
20210304,VI,2704,46007,113,48711,null,25,null,2021-03-04 08:58:00,78,9,166,48824,175,48711,0,0
20210304,VT,15686,318086,null,1094855,27,207,null,2021-03-03 23:59:00,50,199,722,333772,11657,333772,0,0
20210304,WA,342236,null,null,5320381,461,5012,19466,2021-03-03 02:59:00,53,795,0,342236,18873,342236,24,33
20210304,WI,619942,2639148,19,7008539,262,7082,26330,2021-03-04 00:00:00,55,855,4149,3259109,37986,3259090,13,51
20210304,WV,132677,null,null,2207676,193,2309,null,2021-03-03 23:59:00,54,261,0,132677,9422,132677,0,0
