date,states,positive,negative,pending,hospitalizedCurrently,dateChecked,death,hospitalized,totalTestResults,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20210305,56,28654639,74307155,12213,42541,2021-03-05 24:00:00,512629,877384,361224072,0,0,2221,2781,271917,68787,1744417
20210304,56,28585852,74035238,12405,44172,2021-03-04 24:00:00,510408,874603,359479655,0,0,1743,1530,177957,65487,1590984
20210303,56,28520365,73857281,11778,45462,2021-03-03 24:00:00,508665,873073,357888671,0,0,2449,2172,267001,66836,1406795
20210302,56,28453529,73590280,11196,46388,2021-03-02 24:00:00,506216,870901,356481876,0,0,1728,1871,255779,54248,1343519
20210301,56,28399281,73334501,11748,46738,2021-03-01 24:00:00,504488,869030,355138357,0,0,1241,1024,118077,48092,1154440
20210228,56,28351189,73216424,11708,47352,2021-02-28 24:00:00,503247,868006,353983917,0,0,1051,879,203599,54349,1408422
20210227,56,28296840,73012825,11731,48871,2021-02-27 24:00:00,502196,867127,352575495,0,0,1847,1428,205090,71245,1655179
20210226,56,28225595,72807735,11945,51112,2021-02-26 24:00:00,500349,865699,350920316,0,0,2141,1933,276829,74857,1803309
20210225,56,28150738,72530906,11813,52669,2021-02-25 24:00:00,498208,863766,349117007,0,0,3138,1982,272209,75565,1826144
20210224,56,28075173,72258697,12548,54118,2021-02-24 24:00:00,495070,861784,347290863,0,0,2447,2172,245318,73258,1450666
20210223,56,28001915,72013379,11200,55058,2021-02-23 24:00:00,492623,859612,345840197,0,0,2241,2164,225267,69105,1193835
20210222,56,27932810,71788112,9499,55403,2021-02-22 24:00:00,490382,857448,344646362,0,0,1235,1305,123611,52530,1201247
20210221,56,27880280,71664501,9442,56159,2021-02-21 24:00:00,489147,856143,343445115,0,0,1287,997,156778,58702,1232995
20210220,56,27821578,71507723,9408,58222,2021-02-20 24:00:00,487860,855146,342212120,0,0,2160,1732,141790,72354,1290481
20210219,56,27749224,71365933,8711,59882,2021-02-19 24:00:00,485700,853414,340921639,0,0,2477,2674,224755,74676,1878033
20210218,56,27674548,71141178,8679,62300,2021-02-18 24:00:00,483223,850740,339043606,0,0,2616,2497,218491,66824,1345849
20210217,56,27607724,70922687,8548,63405,2021-02-17 24:00:00,480607,848243,337697757,0,0,2348,2857,233666,66839,1298421
20210216,56,27540885,70689021,11547,64533,2021-02-16 24:00:00,478259,845386,336399336,0,0,1353,2094,101102,56312,1053698
20210215,56,27484573,70587919,11494,65455,2021-02-15 24:00:00,476906,843292,335345638,0,0,1078,1130,143388,55077,1123560
20210214,56,27429496,70444531,11515,67023,2021-02-14 24:00:00,475828,842162,334222078,0,0,1366,1236,171877,72164,1439631
20210213,56,27357332,70272654,11529,69283,2021-02-13 24:00:00,474462,840926,332782447,0,0,3467,1805,234293,90642,1757608
20210212,56,27266690,70038361,9434,71497,2021-02-12 24:00:00,470995,839121,331024839,0,0,5427,2347,255983,101030,1812454
20210211,56,27165660,69782378,11981,74225,2021-02-11 24:00:00,465568,836774,329212385,0,0,3873,2460,260124,102417,1855929
20210210,56,27063243,69522254,12079,76979,2021-02-10 24:00:00,461695,834314,327356456,0,0,3445,3226,155861,95194,1382709
20210209,56,26968049,69366393,10516,79179,2021-02-09 24:00:00,458250,831088,325973747,0,0,2795,3144,337168,92986,1488481
20210208,56,26875063,69029225,12114,80055,2021-02-08 24:00:00,455455,827944,324485266,0,0,1309,1638,142156,77737,1400009
20210207,56,26797326,68887069,12061,81439,2021-02-07 24:00:00,454146,826306,323085257,0,0,1475,1543,208303,95994,1498808
20210206,56,26701332,68678766,12070,84233,2021-02-06 24:00:00,452671,824763,321586449,0,0,2994,2443,282477,114557,1888854
20210205,56,26586775,68396289,11546,86373,2021-02-05 24:00:00,449677,822320,319697595,0,0,3543,2940,270754,131146,1868496
20210204,56,26455629,68125535,11914,88668,2021-02-04 24:00:00,446134,819380,317829099,0,0,5212,3402,217496,123907,1663995
20210203,56,26331722,67908039,12077,91440,2021-02-03 24:00:00,440922,815978,316165104,0,0,3685,3975,224499,116960,1384881
20210202,56,26214762,67683540,10590,92880,2021-02-02 24:00:00,437237,812003,314780223,0,0,3486,3285,167082,117616,1385595
20210201,56,26097146,67516458,11957,93536,2021-02-01 24:00:00,433751,808718,313394628,0,0,1562,1766,344975,120200,1507545
20210131,56,25976946,67171483,12007,95013,2021-01-31 24:00:00,432189,806952,311887083,0,0,2059,2171,224593,119367,1725724
20210130,56,25857579,66946890,11986,97561,2021-01-30 24:00:00,430130,804781,310161359,0,0,2982,3147,232299,148824,2139579
20210129,56,25708755,66714591,12400,101003,2021-01-29 24:00:00,427148,801634,308021780,0,0,3503,2835,284168,167111,1955101
20210128,56,25541644,66430423,12095,104303,2021-01-28 24:00:00,423645,798799,306066679,0,0,4011,3500,269667,157306,1936761
20210127,56,25384338,66160756,11972,107444,2021-01-27 24:00:00,419634,795299,304129918,0,0,4077,4134,244553,153985,1626393
20210126,56,25230353,65916203,9879,108960,2021-01-26 24:00:00,415557,791165,302503525,0,0,3734,3705,377450,146448,1733799
20210125,56,25083905,65538753,10963,109936,2021-01-25 24:00:00,411823,787460,300769726,0,0,1593,2515,217006,133454,1630391
20210124,56,24950451,65321747,10892,110628,2021-01-24 24:00:00,410230,784945,299139335,0,0,1944,1909,223447,144234,1792892
20210123,56,24806217,65098300,10864,113609,2021-01-23 24:00:00,408286,783036,297346443,0,0,3591,6652,274547,177118,1990072
20210122,56,24629099,64823753,11247,116264,2021-01-22 24:00:00,404695,776384,295356371,0,0,3980,4325,284392,190915,2022028
20210121,56,24438184,64539361,10907,119949,2021-01-21 24:00:00,400715,772059,293334343,0,0,3878,4053,256168,186275,1922155
20210120,56,24251909,64283193,10841,122700,2021-01-20 24:00:00,396837,768006,291412188,0,0,4409,5105,312902,189203,1821802
20210119,56,24062706,63970291,10472,123820,2021-01-19 24:00:00,392428,762901,289590386,0,0,2141,3206,370922,146626,1637938
20210118,56,23916080,63599369,11477,123848,2021-01-18 24:00:00,390287,759695,287952448,0,0,1395,2839,192825,150792,1771268
20210117,56,23765288,63406544,11404,124387,2021-01-17 24:00:00,388892,756856,286181180,0,0,2053,2167,277842,187218,1916756
20210116,56,23578070,63128702,11334,126139,2021-01-16 24:00:00,386839,754689,284264424,0,0,3709,4039,226342,218085,2116224
20210115,56,23359985,62902360,11948,127235,2021-01-15 24:00:00,383130,750650,282148200,0,0,3679,4000,410997,246454,2309884
20210114,56,23113531,62491363,12138,128947,2021-01-14 24:00:00,379451,746650,279838316,0,0,3915,3792,305894,225616,2048899
20210113,56,22887915,62185469,10942,130391,2021-01-13 24:00:00,375536,742858,277789417,0,0,4087,5312,237885,224491,1827396
20210112,56,22663424,61947584,9181,131326,2021-01-12 24:00:00,371449,737546,275962021,0,0,4064,4657,428795,218020,1944234
20210111,56,22445404,61518789,11039,129793,2021-01-11 24:00:00,367385,732889,274017787,0,0,1733,3045,225808,195255,1695767
20210110,56,22250149,61292981,10957,129223,2021-01-10 24:00:00,365652,729844,272322020,0,0,2068,2413,270382,228732,2051661
20210109,56,22021417,61022599,10850,130781,2021-01-09 24:00:00,363584,727431,270270359,0,0,3537,6683,290183,269368,2137700
20210108,56,21752049,60732416,11633,131921,2021-01-08 24:00:00,360047,720748,268132659,0,0,3780,4705,320284,295121,2146223
20210107,56,21456928,60412132,11612,132370,2021-01-07 24:00:00,356267,716043,265986436,0,0,4079,5312,246578,272043,1928262
20210106,56,21184885,60165554,10062,132474,2021-01-06 24:00:00,352188,710731,264058174,0,0,3902,6607,263088,250184,1650493
20210105,56,20934701,59902466,8008,131195,2021-01-05 24:00:00,348286,704124,262407681,0,0,3484,4290,480256,219075,1721007
20210104,56,20715626,59422210,9463,128210,2021-01-04 24:00:00,344802,699834,260686674,0,0,1547,3892,148614,179571,1512611
20210103,56,20536055,59273596,9407,125562,2021-01-03 24:00:00,343255,695942,259174063,0,0,1455,2226,215583,208457,1444257
20210102,56,20327598,59058013,9356,123614,2021-01-02 24:00:00,341800,693716,257729806,0,0,2406,3051,221792,280318,1934350
20210101,56,20047280,58836221,11506,125047,2021-01-01 24:00:00,339394,690665,255795456,0,0,2592,4550,192048,182906,1545537
20201231,56,19864374,58644173,14931,125423,2020-12-31 24:00:00,336802,686115,254249919,0,0,3297,4348,262855,226246,1797220
20201230,56,19638128,58381318,14200,125220,2020-12-30 24:00:00,333505,681767,252452699,0,0,3900,5514,215107,229496,1583713
20201229,56,19408632,58166211,9939,124686,2020-12-29 24:00:00,329605,676253,250868986,0,0,3289,5261,201698,199679,1343514
20201228,56,19208953,57964513,10365,121202,2020-12-28 24:00:00,326316,670992,249525472,0,0,1490,3723,309721,164127,1332122
20201227,56,19044826,57654792,10280,118720,2020-12-27 24:00:00,324826,667269,248193350,0,0,1397,2302,204288,153540,1395240
20201226,56,18891286,57450504,10229,117344,2020-12-26 24:00:00,323429,664967,246798110,0,0,1426,2292,214555,190594,1974298
20201225,56,18700692,57235949,10214,118948,2020-12-25 24:00:00,322003,662675,244823812,0,0,1553,2047,170690,126796,1568040
20201224,56,18573896,57065259,14410,120200,2020-12-24 24:00:00,320450,660628,243255772,0,0,2958,4289,322117,206684,2031894
20201223,56,18367212,56743142,13784,119463,2020-12-23 24:00:00,317492,656339,241223878,0,0,3393,4795,304962,224526,1791481
20201222,56,18142686,56438180,9934,117777,2020-12-22 24:00:00,314099,651544,239432397,0,0,3137,4567,268046,193008,1770133
20201221,56,17949678,56170134,12425,115358,2020-12-21 24:00:00,310962,646977,237662264,0,0,1480,3111,439796,179406,1974590
20201220,56,17770272,55730338,12410,113601,2020-12-20 24:00:00,309482,643866,235687674,0,0,1668,2382,249266,197494,1821629
20201219,56,17572778,55481072,12420,113914,2020-12-19 24:00:00,307814,641484,233866045,0,0,2708,3429,200763,204873,1859539
20201218,56,17367905,55280309,13454,113955,2020-12-18 24:00:00,305106,638055,232006506,0,0,2866,5214,450795,241786,2193466
20201217,56,17126119,54829514,13003,114492,2020-12-17 24:00:00,302240,632841,229813040,0,0,3465,5167,246432,242970,1912697
20201216,56,16883149,54583082,12843,113257,2020-12-16 24:00:00,298775,627674,227900343,0,0,3453,4776,303846,234288,1839996
20201215,56,16648861,54279236,9693,112816,2020-12-15 24:00:00,295322,622898,226060347,0,0,2924,4430,316712,193218,1833138
20201214,56,16455643,53962524,11448,110573,2020-12-14 24:00:00,292398,618468,224227209,0,0,1357,3461,456078,193286,2010951
20201213,56,16262357,53506446,11382,109298,2020-12-13 24:00:00,291041,615007,222216258,0,0,1501,2314,299810,187251,1827310
20201212,56,16075106,53206636,11345,108461,2020-12-12 24:00:00,289540,612693,220388948,0,0,2497,3789,226203,226904,1919896
20201211,56,15848202,52980433,13421,108101,2020-12-11 24:00:00,287043,608904,218469052,0,0,2747,5411,350441,236933,1969509
20201210,56,15611269,52629992,12409,107300,2020-12-10 24:00:00,284296,603493,216499543,0,0,3132,4450,311589,220846,1967578
20201209,56,15390423,52318403,13186,106671,2020-12-09 24:00:00,281164,599043,214531965,0,0,3169,5300,378319,216728,1832545
20201208,56,15173695,51940084,9806,104637,2020-12-08 24:00:00,277995,593743,212699420,0,0,2680,4410,292335,217844,1690914
20201207,56,14955851,51647749,13484,102122,2020-12-07 24:00:00,275315,589333,211008506,0,0,1291,3461,269111,181897,1653269
20201206,56,14773954,51378638,13592,101501,2020-12-06 24:00:00,274024,585872,209355237,0,0,1163,2311,299691,182580,1675779
20201205,56,14591374,51078947,13433,101192,2020-12-05 24:00:00,272861,583561,207679458,0,0,2486,3513,356778,219070,2302086
20201204,56,14372304,50722169,12714,101309,2020-12-04 24:00:00,270375,580048,205377372,0,0,2563,4654,310395,230313,1918739
20201203,56,14141991,50411774,15106,100746,2020-12-03 24:00:00,267812,575394,203458633,0,0,2822,5369,306223,216271,1904020
20201202,56,13925720,50105551,14368,100327,2020-12-02 24:00:00,264990,570025,201554613,0,0,2811,5238,-658774,203429,1587969
20201201,56,13722291,50764325,8764,98736,2020-12-01 24:00:00,262179,564787,199966644,0,0,2489,4916,263699,181183,1494046
20201130,56,13541108,50500626,14883,96134,2020-11-30 24:00:00,259690,559871,198472598,0,0,1037,3394,344231,150031,1520240
20201129,56,13391077,50156395,14860,93357,2020-11-29 24:00:00,258653,556477,196952358,0,0,825,2429,226788,137254,1337135
20201128,56,13253823,49929607,14780,91762,2020-11-28 24:00:00,257828,554048,195615223,0,0,1243,3485,324413,151469,1675224
20201127,56,13102354,49605194,14854,89913,2020-11-27 24:00:00,256585,550563,193939999,0,0,1404,3418,384580,198874,1970528
20201126,56,12903480,49220614,14856,90564,2020-11-26 24:00:00,255181,547145,191969471,0,0,1392,2333,179941,129764,1467611
20201125,56,12773716,49040673,14060,90043,2020-11-25 24:00:00,253789,544812,190501860,0,0,2281,4538,394165,188496,1881059
20201124,56,12585220,48646508,9962,88132,2020-11-24 24:00:00,251508,540274,188620801,0,0,2091,4685,360586,166503,1873837
20201123,56,12418717,48285922,17617,85945,2020-11-23 24:00:00,249417,535589,186746964,0,0,853,2835,331207,154696,1671011
20201122,56,12264021,47954715,17578,83882,2020-11-22 24:00:00,248564,532754,185075953,0,0,923,2291,373855,154188,1818793
20201121,56,12109833,47580860,17683,83346,2020-11-21 24:00:00,247641,530463,183257160,0,0,1551,3375,376533,186385,2140465
20201120,56,11923448,47204327,16221,82318,2020-11-20 24:00:00,246090,527088,181116695,0,0,1910,3903,448167,197164,2004886
20201119,56,11726284,46756160,14596,80669,2020-11-19 24:00:00,244180,523185,179111809,0,0,2010,4456,324389,187932,1845354
20201118,56,11538352,46431771,12971,79478,2020-11-18 24:00:00,242170,518729,177266455,0,0,1885,4352,346915,168220,1701006
20201117,56,11370132,46084856,9281,77047,2020-11-17 24:00:00,240285,514377,175565449,0,0,1553,3887,300498,159826,1634272
20201116,56,11210306,45784358,13639,73320,2020-11-16 24:00:00,238732,510490,173931177,0,0,607,2907,249458,149977,1484630
20201115,56,11060329,45534900,13654,70202,2020-11-15 24:00:00,238125,507583,172446547,0,0,712,1868,400351,147062,1626437
20201114,56,10913267,45134549,13657,69588,2020-11-14 24:00:00,237413,505715,170820110,0,0,1353,3468,300446,167726,1785889
20201113,56,10745541,44834103,12010,68585,2020-11-13 24:00:00,236060,502247,169034221,0,0,1301,3673,331974,174633,1742559
20201112,56,10570908,44502129,11385,67236,2020-11-12 24:00:00,234759,498574,167291662,0,0,1112,3562,271550,157542,1607551
20201111,56,10413366,44230579,11287,65549,2020-11-11 24:00:00,233647,495012,165684111,0,0,1577,3281,283243,149333,1503560
20201110,56,10264033,43947336,8579,62119,2020-11-10 24:00:00,232070,491731,164180551,0,0,1358,4070,203377,135569,1386936
20201109,56,10128464,43743959,23458,59342,2020-11-09 24:00:00,230712,487661,162793615,0,0,577,2176,283666,118403,1314380
20201108,56,10010061,43460293,23353,56942,2020-11-08 24:00:00,230135,485485,161479235,0,0,513,1467,239635,112445,1266058
20201107,56,9897616,43220658,23295,56037,2020-11-07 24:00:00,229622,484018,160213177,0,0,1125,2341,357869,132113,1546164
20201106,56,9765503,42862789,11804,55005,2020-11-06 24:00:00,228497,481677,158667013,0,0,1185,3121,314445,129990,1772955
20201105,56,9635513,42548344,11233,53380,2020-11-05 24:00:00,227312,478556,156894058,0,0,1154,2553,302427,119023,1561062
20201104,56,9516490,42245917,10117,52166,2020-11-04 24:00:00,226158,476003,155332996,0,0,1131,3107,202598,105996,1318451
20201103,56,9410494,42043319,8003,50509,2020-11-03 24:00:00,225027,472896,154014545,0,0,1517,3135,255848,119949,1269152
20201102,56,9290545,41787471,10655,48750,2020-11-02 24:00:00,223510,469761,152745393,0,0,475,1399,283444,83454,1238898
20201101,56,9207091,41504027,10617,47615,2020-11-01 24:00:00,223035,468362,151506495,0,0,410,1166,228603,141973,1160138
20201031,56,9065118,41275424,10635,47486,2020-10-31 24:00:00,222625,467196,150346357,0,0,958,2116,325765,91294,1473444
20201030,56,8973824,40949659,11120,46880,2020-10-30 24:00:00,221667,465080,148872913,0,0,947,2403,206695,97942,1423126
20201029,56,8875882,40742964,10481,46191,2020-10-29 24:00:00,220720,462677,147449787,0,0,1060,2321,317094,89365,1453174
